sample_id,substrate_material,coating_material,reinforcement,coating_method,electrolyte_composition,current_voltage_mode,ac_dc_mode,cooling_method,surface_preparation,reinforcement_percentage,particle_size,current_density,voltage,frequency,duty_cycle,treatment_time,temperature,pressure,spray_distance,surface_roughness,heat_treatment_temperature,heat_treatment_time,speed,num_passes,surface_hardness,corrosion_resistance,corrosion_rate,coating_thickness,porosity,pore_size,wear_resistance,experiment_id,data_source,is_demo,units,notes
S0001,Magnesium,Magnesium,Si3N4,plasma_spray,mixed_oxide,constant_voltage,DC,air,polished,10.911159838086272,5.671168602619217,58.31018242104499,92.42922177746716,1701.2910594633613,26.717190234505185,60.12003851254536,17.391961026007667,4.249577934338234,54.206534253112096,3.563896489531225,500.0,5.038557680548313,21.857640614505552,4.0,83.16984925665363,51.01890516813866,0.5143194802356235,70.92117753748303,9.472907313987147,0.46761184047961724,240.26772609352744,E001,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0012,Tantalum,Al2O3,Si3N4,anodizing,aluminate,constant_voltage,DC,oil,as_received,19.740882292739897,22.981786130936797,42.070865099167754,213.45972759611237,4438.405882950006,52.81928871020674,72.28290695067821,74.20804173244403,1.1228125955729085,197.77070547371397,1.599531113095934,400.0,1.4601623471846634,33.24002163370511,7.0,54.87158212715119,35.21573372865428,0.35262785307639377,42.3405578729086,8.843020895956588,4.203108226289571,183.22282788960504,E002,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0013,Zirconium,ZrO2,SiC,electrodeposition,KOH,constant_voltage,AC,air,sandblasted,9.438337677649494,2.5580239353468746,5.234848490585356,94.19511770874874,1415.6753819375556,,22.80940731431613,63.40198767309971,0.744396241373183,277.46737264062483,3.0925230028578627,250.0,10.016359362780797,22.320684251211592,5.0,185.23243768155993,35.63028536661883,0.8690060333594545,27.164113854885596,3.236298338811721,1.2699903737979794,191.57839571856968,E002,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0014,Tantalum,ZrO2,Al2O3,anodizing,mixed_oxide,constant_voltage,DC,air,polished,2.3093163554714193,7.928323722259974,29.147889108595212,174.3451903939325,4084.7403212807335,53.12253826541091,106.85123580521811,75.56855881524177,3.669930650975352,219.4720063800814,,300.0,11.306008589179593,1.8738131421089776,1.0,217.0405079489962,15.25780337758836,1.0998282855016857,23.6870394624273,11.486099036587037,3.808115554653995,113.70609543686969,E002,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0015,Zirconium,TiO2,TiO2,anodizing,phosphate,constant_current,AC,water,polished,11.459178906900922,1.8577515912170022,20.983042371824272,79.20718977730935,3429.3365128440937,47.26460269506265,47.37384338071866,45.549345601680926,2.539787337356688,129.31214947368358,1.6514162264867605,150.0,8.158054470007333,22.934755103318224,4.0,63.17457365948383,19.49117533094613,1.4504621765909502,19.586764503125657,9.148134356318415,0.4992349561059992,145.49357128239228,E002,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0016,Tantalum,Magnesium,Si3N4,sol_gel,aluminate,constant_voltage,AC,furnace,ground,2.967993946417226,23.62288904000376,14.456685069428572,445.0148845819579,2559.111944523786,33.16153032996192,10.719958034922875,41.86401243193228,4.27264199421388,210.72208107249173,2.0866301769351057,450.0,11.592228016974547,3.128972947130618,1.0,187.17971192159223,20.18495268368299,0.9460556629589617,17.177717713043528,6.982641849948658,11.778563053685234,129.71436722576647,E002,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0017,Zirconium,TiO2,Al2O3,plasma_spray,aluminate,constant_voltage,DC,air,polished,15.154631425448171,11.15937337668473,12.13795497395626,306.2764562705527,2114.5807152143734,65.99942517948077,42.706305889675136,38.29647401263621,0.8358333402619029,258.01710186200637,4.007758992454496,250.0,11.242281318994397,13.494779425861736,3.0,133.3424088422973,35.24606915434032,0.5626810020314097,55.59659380739572,9.50484646758106,7.995784483196321,212.95522230603586,E002,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0018,Magnesium,Magnesium,TiO2,PEO,fluoride,constant_voltage,AC,furnace,ground,10.399701450504669,16.8998445433709,46.041266330222186,218.49330943340047,4077.513779627284,58.41983273327973,105.03352219183121,55.05996124338585,4.104842596735291,168.95751483736447,5.40861816441682,450.0,2.737996609243167,25.527475137206817,3.0,217.6359946284215,32.089156485166285,0.9789500816604633,54.11038475349929,12.190279732359537,4.365343505859572,197.4140740074097,E002,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0019,Tantalum,Tantalum,none,plasma_spray,fluoride,constant_current,DC,oil,ground,0.0,0.0,57.14098939586667,381.02480231578124,3965.397163475106,28.21936214056156,110.45000737410523,37.85136015313668,0.6680063877987125,254.93712249945963,2.9338999211998567,150.0,8.908942008879455,36.603610271404804,4.0,229.63950970389934,43.753070958572984,0.16342792146878138,103.64689235878487,21.41856381171973,8.572103813528653,146.30504896671508,E002,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0020,Aluminum,MgO,none,plasma_spray,silicate,constant_voltage,DC,furnace,sandblasted,0.0,0.0,9.270604789996572,365.3232629751601,3784.681679712796,70.30009778021261,61.39581798485786,63.507760208830405,0.6263150536128064,147.97741916658853,1.9664963116352858,350.0,4.5170054235334876,14.95402985311967,4.0,221.94667869400615,40.83270794752717,0.3688722749150719,66.93822562824944,6.440273699710952,9.176036803224413,151.81090927783615,E002,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0021,Zirconium,Zirconium,none,sol_gel,aluminate,constant_current,AC,furnace,ground,0.0,0.0,57.62119193127349,519.936044613795,4991.279756076479,64.74738287361444,114.97909310844307,,2.5759208827896334,137.12641964894266,0.20712754791945198,200.0,6.106449646504699,34.540927532454674,6.0,44.16473026738281,4.171702605044914,1.3903403806604855,30.466798095297506,17.04670723371189,14.986946774549349,35.12804144257439,E003,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0022,Aluminum,Aluminum,none,electrodeposition,phosphate,constant_current,AC,water,ground,0.0,0.0,36.09098770503112,530.6302583741899,2392.5623047069193,43.77338015755597,105.65280805937725,71.92989857290976,1.4958108035629332,,5.314154259973555,500.0,2.305102458211726,36.81607940562014,3.0,196.50816089929432,27.68575561908239,0.7889949181456253,46.50443664079198,17.55778545187934,11.992740267140443,132.87799341415152,E003,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0023,Magnesium,Aluminum,ZrO2,PEO,phosphate,constant_current,AC,furnace,sandblasted,15.21412076107281,22.191201308511573,38.85796391643217,390.34188783270264,4034.614889099579,10.374078361801798,99.90153246641091,30.782060465943022,3.171734181529388,166.17160442362032,5.5074859852159825,350.0,11.709963422663003,1.8207113378352582,6.0,232.73606649688247,32.04438371572226,1.0190901319497543,59.30869821638451,15.099482373720887,9.155508217303565,244.39825225421882,E003,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0024,Tantalum,ZrO2,Si3N4,PEO,phosphate,constant_current,AC,air,polished,16.927872528327015,1.2694406524293467,42.88565631041233,,4312.391834917392,47.959397764975954,103.86665743845369,49.2564332040044,0.6161764739516169,294.2779801152708,3.739567798169534,400.0,8.850579905378698,10.337685672348728,7.0,166.69665694760482,31.762039930024734,0.3752363314017907,73.73618739966305,15.834357435949821,10.606396014929485,254.31564782467214,E003,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0025,Tantalum,Zirconium,Si3N4,electrodeposition,NaOH,constant_current,AC,water,polished,17.446548832401554,18.864559476630056,42.543014530920274,446.21255016758926,1058.0129072684197,10.514939956071396,48.9156723994147,29.523900087439525,0.6592529406334033,179.09735588204367,3.2870061703446947,25.0,0.0,28.684629669872454,6.0,162.19273330526784,4.174582610600959,0.532344538758116,56.18976649483173,19.977020368037437,14.595679498608321,197.32479305883692,E003,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0026,Zirconium,Zirconium,none,PEO,silicate,constant_current,DC,air,ground,0.0,0.0,49.36885538295561,295.65176634994987,210.33221026530492,16.374871590418387,91.99392818688752,17.441128522322174,3.772168232773732,146.29300722900538,0.6597438500014046,400.0,4.771924436932386,30.516878680102387,2.0,39.90118522758442,45.12523113495383,0.32769159528251257,63.11840403407818,11.891572442759646,6.34496656045401,117.92221526108722,E003,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0027,Aluminum,TiO2,none,anodizing,phosphate,constant_current,AC,air,ground,0.0,0.0,29.52465042951415,402.22914401670846,2023.7420109428983,46.6018417108709,71.39398535375716,61.00864477103945,1.4457432312154024,,2.245336748866096,25.0,0.0,16.30425715846511,5.0,218.32726488530648,9.278927412337165,1.5055728008168532,33.142020391681605,13.519938954281422,11.417601842812175,106.95054552249314,E003,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0028,Tantalum,Aluminum,SiC,PEO,mixed_oxide,constant_voltage,DC,air,polished,4.717251541052253,12.875502491169676,32.46815666336737,,4283.68342218388,16.963190155752855,87.76366020013526,50.6837828057831,3.453877056473301,186.98498765327915,4.008674581954257,250.0,9.096637827654163,26.613429898141344,2.0,40.20878338241553,34.84011017319512,0.5326696271261707,38.219007925007304,11.005119551243268,1.569402100537944,41.44013331577823,E003,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0029,Zirconium,TiO2,TiO2,PEO,silicate,constant_current,AC,air,sandblasted,17.276744870244777,6.530569189561591,20.105793145341536,429.01054157515347,1445.5164059725512,33.43156187190913,25.445402371789083,62.055273170950436,3.8746497267534132,138.72800950204885,6.611541481358232,200.0,11.145518567850223,24.874186077119372,4.0,98.97211340462827,32.383746072067055,0.4482317093511018,48.8215851429116,10.397091151561533,11.132071056866026,204.52835985590568,E003,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0030,Aluminum,TiO2,Al2O3,sol_gel,aluminate,constant_voltage,DC,air,polished,13.143754861465542,3.4237729819994516,7.210198033203906,530.9165035961838,3500.0507703371204,65.71676632751232,89.11029985411832,20.695489241424912,0.7669902457623534,230.72665049123398,0.7002795370035952,25.0,0.0,29.851223502441336,5.0,233.6898743631874,10.159537822245168,1.255649205665322,23.12399077263884,3.1602524089597175,17.766686708308352,218.84142895167219,E003,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0031,Aluminum,MgO,TiO2,PEO,silicate,constant_voltage,DC,water,sandblasted,8.694338341132545,2.9678334655757466,40.21377126464692,92.48737656286922,36.74069532131341,36.23230412180062,115.12312993232975,79.70920163902623,3.9638927950890763,145.16573192541023,5.016174565919542,350.0,5.933751015224825,29.02767868205975,3.0,238.9439314004927,36.07733878993121,0.6064395224573597,48.06803425840602,9.50653183435076,1.3161337855467856,212.75395604215583,E004,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0032,Magnesium,Aluminum,SiC,PEO,KOH,constant_voltage,AC,air,sandblasted,4.1680324483663505,2.6279052998268675,2.982988181988804,468.0578922959273,1776.8221616011886,94.80013050032838,39.8062820738644,79.63265685155707,1.7078954808257871,146.03609663131078,2.426901226156875,200.0,7.321887087599063,4.348961121624093,1.0,248.21811890470298,26.97654255003217,0.8551784564385801,41.712245828350525,1.6739640254386596,13.26863701116156,178.2837590243678,E004,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0033,Magnesium,Aluminum,Si3N4,sol_gel,NaOH,constant_voltage,DC,air,polished,7.110960705436616,15.962861501357715,17.262468013918728,516.4900133246356,3077.5834737907558,87.88567288277339,118.40855225489712,45.224988657728325,2.252956811898867,204.24331234420117,4.9538335514183345,,5.023455912603629,,6.0,134.80850283483497,12.681490336563892,2.5325239415519025,19.75431739385666,10.180776422883513,14.031787814078134,117.32271697382052,E004,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0034,Zirconium,Zirconium,Al2O3,PEO,phosphate,constant_current,AC,furnace,polished,14.223665043534378,8.817700742418475,6.5595620023199155,163.09444490103104,648.7859503616844,,48.51324170261768,71.29381648694934,0.8898763653289251,65.2117181740025,0.788005305055677,400.0,6.29808521870538,6.176358743113324,6.0,69.03450020382238,40.41767701382687,0.6666591675045243,34.79925921855149,3.655281767609153,2.7053069684754814,192.05919638605005,E004,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0035,Tantalum,MgO,none,sol_gel,mixed_oxide,constant_voltage,AC,air,polished,0.0,0.0,12.252902282040365,312.4055938046019,4483.03456073717,92.19050678396908,27.96820215741878,30.83195612736119,4.273834925141838,213.83872952878653,3.5871472587629905,150.0,1.715637733731173,37.36672272386994,1.0,137.34778710239846,9.901918709527799,0.9220651342288539,18.04687189755466,4.881380875289013,8.146916725298297,51.44884497686831,E004,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0036,Magnesium,Aluminum,Si3N4,PEO,fluoride,constant_voltage,DC,air,ground,2.3248674340982687,17.312533063012282,38.68512386094547,513.9291127314942,781.3698855853962,83.78147002676438,17.912916427027415,62.941800479514306,3.0232795384659377,176.24305428967176,0.9635663709384408,400.0,2.42825545878191,36.62816328576658,3.0,52.50884351827083,51.4790526721168,0.6408896694023973,63.760995311468065,10.60611517868107,14.059981348028401,122.04942212786247,E004,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0037,Tantalum,Tantalum,ZrO2,PEO,phosphate,constant_current,DC,air,sandblasted,17.816560785437243,17.18689666587335,38.080121182090174,530.113002261484,4548.967725019973,37.106374101441396,95.27062002814044,72.14968069288177,2.770993750312275,163.2565285716604,5.134718262983396,200.0,5.1126644580316665,32.09907851428183,2.0,221.95794397339336,20.04349069366958,0.2997774106486651,61.54313572370678,19.148325469723055,17.48211918407689,239.01559811903618,E004,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0038,Tantalum,Magnesium,none,PEO,NaOH,constant_current,AC,air,sandblasted,0.0,0.0,25.84223986674701,113.94119217615818,1081.9465434148733,73.7156809087513,68.80492104330537,67.9533072952506,4.8584966490624,229.81324767698783,5.389659411433673,200.0,11.021798635361353,5.552023866362413,7.0,,28.478727753260973,0.37794363781949614,45.51055235836196,7.364909752130887,0.09006772679690478,84.27368669264936,E004,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0039,Aluminum,MgO,TiO2,electrodeposition,mixed_oxide,constant_voltage,AC,oil,polished,4.396001147833585,23.37719753080298,6.320146612879978,224.5021127777253,4971.393369579204,21.630701640335523,40.32009877113332,67.76531508567524,2.0052759197330188,239.56394550121524,1.237725810383041,350.0,4.517617526063286,23.39658732686385,7.0,118.99129781668616,27.09092278102532,1.0306608744945334,25.91660875984082,4.741293541132485,4.457992108761919,131.0518567536219,E004,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0040,Zirconium,Magnesium,Si3N4,electrodeposition,silicate,constant_current,AC,furnace,polished,6.200075096884837,9.666085074463462,26.569061071105093,399.0723205754283,3023.7435664779546,68.18687107219299,74.97179252628216,45.09673108577623,4.508506789145132,261.56521585311486,,350.0,3.372617298957657,8.301994417504204,5.0,47.496754545776966,20.40575663653068,0.6781062866893363,39.41113813553453,9.00145962782819,10.156883993151238,88.7830562588246,E004,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0041,Magnesium,Al2O3,graphene,plasma_spray,aluminate,constant_current,AC,oil,polished,19.455368454052273,20.90478113316886,21.81194743963931,160.77924969296515,421.7244721915564,51.74195525203934,43.191636601715544,68.29934660562023,3.738595464790719,143.70078020436182,4.523688299659958,350.0,9.042915539766673,15.366973564793298,4.0,119.1529488996587,39.231276447726884,0.7805749455068247,50.533984367248834,5.280128100899439,4.8787349817909895,234.28261293029104,E005,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0042,Tantalum,Magnesium,Si3N4,anodizing,mixed_oxide,constant_voltage,AC,oil,sandblasted,14.309597491802789,1.924728227908298,43.50709001850103,212.38531431724041,326.38617239329926,11.430204836490102,56.561142092772755,59.89581284638453,4.678376611335075,131.75942306334525,6.544912588498571,150.0,11.414996909881006,11.416559788859105,1.0,220.56215384582396,12.728835810848594,1.073220358153237,28.974968338384013,16.797527239005934,3.5505345479004147,198.83424138386843,E005,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0043,Zirconium,Aluminum,Al2O3,PEO,fluoride,constant_voltage,AC,air,as_received,12.405179082169582,18.508785796260685,35.16256988374405,61.64553000234664,374.6084812973438,33.309534903181515,104.20637446160548,23.609340879373285,4.585109237431069,228.58552537362988,2.951709494841832,350.0,5.779921596230795,33.32830827801117,2.0,184.7493051449868,36.6426153412725,0.8000776960298179,41.37275607886176,12.322391346864539,1.9969205170206514,224.9112486481842,E005,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0044,Aluminum,Aluminum,Al2O3,plasma_spray,fluoride,constant_current,DC,furnace,ground,6.498755465770542,24.711762975106655,30.002380272882938,126.76084046559944,2949.4637364547593,91.20748847936113,81.83914483880395,22.42198626419381,4.959634122617313,195.45121478511146,3.991607528174659,200.0,0.5989569890226056,6.633604581251656,1.0,48.14021385241264,45.001180326080835,0.39464102899781117,67.98278544593467,9.915216659320796,3.644355363056455,112.15980361496345,E005,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0045,Magnesium,ZrO2,graphene,anodizing,KOH,constant_voltage,AC,air,polished,6.332940311247184,21.17262549638103,29.731942855994717,331.1647472088719,,36.84567623252086,92.67621156604238,65.17493883575159,1.092545384167209,207.95038658795414,2.600995453728423,200.0,8.413717311969606,26.200987575792954,6.0,65.17958393975869,12.2840443914296,2.420128117352188,26.774304458041403,11.621392507002227,8.093766936861858,56.32819647860776,E005,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0046,Tantalum,Magnesium,SiC,plasma_spray,mixed_oxide,constant_current,DC,oil,ground,1.270710564459494,14.51263474678598,58.011516348364715,376.5450331520914,2014.8137088525286,25.42362870062246,72.10175841900127,55.655165770240046,4.082073764412177,188.88072677645883,3.096507114502869,500.0,5.273199218585666,39.37189188727051,1.0,116.30786795565102,30.376274106732648,0.1235394753083413,78.43977011971177,20.955765891125278,8.708690399926086,115.26250751516199,E005,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0047,Aluminum,Tantalum,SiC,electrodeposition,silicate,constant_voltage,DC,water,polished,14.705396404587662,15.687813304962658,45.62135908050358,374.4559155479185,2224.178796409309,25.94017295863771,119.01077562184642,48.759447617439534,4.120224597263764,243.17325580096363,2.116808003024925,25.0,0.0,27.795128746891706,5.0,52.302518190902106,26.504380734404357,1.0964515163476465,54.46008123514452,15.824669593210242,11.078178885097136,150.84411208186236,E005,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0048,Tantalum,MgO,graphene,sol_gel,silicate,constant_voltage,DC,furnace,ground,1.3419168886092485,8.864574258451823,30.32179406714754,439.18023538910836,2946.43851832314,50.733127494565665,32.76215762345266,73.97201640517383,3.3996808768031905,97.51022212303829,3.141540773016343,250.0,3.693739932035841,4.090106071271428,7.0,235.4890622385196,10.283801042218801,0.7213127537122241,29.708427428475797,10.38097710249326,10.917632887715808,134.65960620945944,E005,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0049,Zirconium,MgO,graphene,plasma_spray,fluoride,constant_current,AC,water,polished,0.5947180866569413,17.00315619553969,29.27413416044968,257.64070686939573,2665.2030239317787,81.62518545699547,35.16348348266369,57.87337319662921,1.754874312071909,188.9280331853492,0.10035953241092488,250.0,,36.40613057653847,3.0,173.5042498187927,30.47101781834809,0.24282473101386606,70.85119308939016,5.323443737064021,5.674450286938236,171.44379921607526,E005,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0050,Tantalum,Al2O3,none,PEO,phosphate,constant_current,DC,oil,polished,0.0,0.0,2.5622669769928432,186.74535812057775,3440.3086655063507,74.43015003633445,15.644277954908281,40.749538430739506,4.843167222327418,89.52544723590745,1.7121986753929865,200.0,4.461706515574443,26.08010742989425,5.0,50.86106028686791,39.15738568106225,0.5899051093789303,33.97026836758351,5.7785937947463,4.860816855532631,73.66970979448793,E005,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0051,Tantalum,ZrO2,TiO2,anodizing,KOH,constant_voltage,DC,water,polished,19.003038264407945,24.955800603890456,56.608046535868596,57.79035002126249,2358.928600815133,47.13242064071082,68.7122427381317,41.90556753145195,1.419899620505943,151.81298482274798,0.34826339572888143,450.0,8.605111940048827,18.796128204602937,7.0,203.37264172370135,34.503476560202735,0.5150386610367136,39.1335110636638,12.770454659129179,1.7900085295343895,255.13426696763744,E006,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0052,Magnesium,Tantalum,Al2O3,sol_gel,aluminate,constant_current,AC,oil,polished,15.251809430682554,12.336949779160804,19.83126433427245,153.31491302619344,3569.3034253203377,27.741785092141647,75.5363121869623,54.34088345314302,2.7480892026129755,215.99845585401872,0.9526226327314122,300.0,5.020802754605676,26.728006663103624,3.0,111.04930428582743,31.967203154323865,2.409437835577442,15.958613114858636,6.534750490735144,2.9995486660875876,161.35207904944448,E006,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0053,Aluminum,ZrO2,TiO2,plasma_spray,aluminate,constant_current,DC,furnace,as_received,9.696983717175383,1.5795364410473847,16.100405830963883,206.19390610101863,4986.553712733171,13.915516508686245,88.48558088336428,64.41789350461265,2.8466920076863382,173.2679020785426,1.7541057619405893,400.0,3.0205026060120987,35.28272888843284,4.0,83.87154180170859,56.656487597384356,0.37966649533896063,57.414181367922794,5.3073161528124855,4.133036634366427,217.67143791892715,E006,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0054,Aluminum,Zirconium,ZrO2,electrodeposition,mixed_oxide,constant_current,AC,oil,as_received,9.977882366437024,14.916655870738081,59.96512659787261,139.10342824023274,1751.4892112438247,49.32357715603214,43.57628148416502,51.682964951693066,1.2282320517621748,144.89788416804532,2.2537240708099184,250.0,5.836078937542167,19.607961888694724,2.0,155.39668722673204,30.06197660893206,0.9154534333128665,40.0177667574677,12.484416302787414,3.407824162352725,153.4586197319032,E006,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
